PID,COMMAND,%CPU,TIME,#TH,#WQ,#PORTS,MEM,PURG,CMPRS,PGRP,PPID,STATE,BOOSTS,%CPU_ME,%CPU_OTHRS,UID,FAULTS,COW,MSGSENT,MSGRECV,SYSBSD,SYSMACH,CSW,PAGEINS,IDLEW,POWER,INSTRS,CYCLES,USER,#MREGS,RPRVT,VPRVT,VSIZE,KPRVT,KSHRD
8185,top,0.0,00:00.17,1/1,0,14,4017K,0B,0B,8185,2374,running,*0[1],0.00000,0.00000,0,873,45,371606,185802,2072,189678,24,0,0,0.0,0,0,root,N/A,N/A,N/A,N/A,N/A,N/A
8184,mdworker_shared,0.0,00:00.05,3,1,48,2657K,0B,0B,8184,1,sleeping,*0[1],0.00000,0.00000,502,1008,77,514,220,811,501,241,0,0,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
8183,mdworker_shared,0.0,00:00.06,3,1,48,2721K,0B,0B,8183,1,sleeping,*0[1],0.00000,0.00000,502,1092,77,636,270,992,620,310,0,0,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
8182,mdworker_shared,0.0,00:00.06,3,1,48,2577K,0B,0B,8182,1,sleeping,*0[1],0.00000,0.00000,502,1130,77,566,238,978,581,296,18,0,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
8131,com.apple.iCloud,0.0,00:00.26,2,1,51,4673K,0B,0B,8131,1,sleeping,*0[19],0.00000,0.00000,502,929,75,525,151,4768,1090,1406,0,0,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
6598,CptHost,0.0,00:07.70,3,1,155,9122K,0B,1904K,6598,1190,sleeping,*0[14],0.00000,0.00000,502,1077077,99,74058,15686,87179,198920,111727,18,3,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
6595,com.apple.WebKit,0.0,00:01.08,5,1,131,97M,0B,3824K,6595,1,sleeping,0[69],0.00000,0.00000,502,9489,163,9579,4226,10868,18037,5800,20,0,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
6518,secd,0.0,09:23.98,16,15,146,9922K,784K,2240K,6518,1,sleeping,*0[1],0.00000,0.00000,502,6920,147,386061,199208,12796655,3845867,3279898,84,6,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
6323,com.apple.WebKit,0.0,00:00.09,3,1,87,8290K,0B,5264K,6323,1,sleeping,0[3],0.00000,0.00000,502,2272,154,9039,3924,3410,9650,1554,47,0,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
6322,com.apple.WebKit,0.0,00:23.98,5,2,109,101M,0B,8176K,6322,1,sleeping,0[3655],0.00000,0.00000,502,12580,206,45933,1503474,1126747,2669022,1473638,101,1,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
6132,com.apple.Ambien,0.0,00:00.04,3,1,58,3233K,0B,1616K,6132,1,sleeping,*1[1],0.00000,0.00000,0,728,78,276,85,813,497,427,67,0,0.0,0,0,root,N/A,N/A,N/A,N/A,N/A,N/A
5953,com.apple.audio.,0.0,00:00.00,2,1,12,1633K,0B,1104K,5953,1,sleeping,*0[2],0.00000,0.00000,502,393,60,92,34,522,179,45,12,0,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
5845,MTLCompilerServi,0.0,00:00.02,2,1,32,8114K,0B,7680K,5845,1,sleeping,*0[4],0.00000,0.00000,502,834,71,139,39,682,290,92,0,0,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
